cell_id,Sum_Social_priority
157,1
156,2
141,3
171,4
142,5
158,6
127,7
172,8
173,9
143,10
112,11
128,12
154,13
97,14
144,15
96,16
186,17
126,18
187,19
81,20
113,21
111,22
203,23
66,24
155,25
188,26
114,27
202,28
129,29
83,30
80,31
169,32
125,33
174,34
110,35
161,36
189,37
185,38
216,39
160,40
176,41
67,42
145,43
98,44
175,45
226,46
159,47
201,48
140,49
215,50
99,51
95,52
82,53
218,54
153,55
199,56
84,57
200,58
204,59
137,60
191,61
167,62
68,63
130,64
230,65
151,66
152,67
166,68
228,69
168,70
184,71
197,72
217,73
51,74
109,75
52,76
65,77
198,78
37,79
124,80
177,81
39,82
136,83
214,84
190,85
108,86
182,87
241,88
170,89
192,90
213,91
206,92
38,93
54,94
146,95
245,96
1,97
2,98
3,99
4,100
5,101
6,102
7,103
8,104
9,105
10,106
11,107
12,108
13,109
14,110
15,111
16,112
17,113
18,114
19,115
20,116
21,117
22,118
23,119
24,120
25,121
26,122
27,123
28,124
29,125
30,126
31,127
32,128
33,129
34,130
35,131
36,132
40,133
41,134
42,135
43,136
44,137
45,138
46,139
47,140
48,141
49,142
50,143
53,144
55,145
56,146
57,147
58,148
59,149
60,150
61,151
62,152
63,153
64,154
69,155
70,156
71,157
72,158
73,159
74,160
75,161
76,162
77,163
78,164
79,165
85,166
86,167
87,168
88,169
89,170
90,171
91,172
92,173
93,174
94,175
100,176
101,177
102,178
103,179
104,180
105,181
106,182
107,183
115,184
116,185
117,186
118,187
119,188
120,189
121,190
122,191
123,192
131,193
132,194
133,195
134,196
135,197
138,198
139,199
147,200
148,201
149,202
150,203
162,204
163,205
164,206
165,207
178,208
179,209
180,210
181,211
183,212
193,213
194,214
195,215
196,216
205,217
207,218
208,219
209,220
210,221
211,222
212,223
219,224
220,225
221,226
222,227
223,228
224,229
225,230
227,231
229,232
231,233
232,234
233,235
234,236
235,237
236,238
237,239
238,240
239,241
240,242
242,243
243,244
244,245
246,246
247,247
248,248
249,249
250,250
251,251
252,252
253,253
254,254
255,255
