city,amenity,hazard,count
christchurch,medical_clinic,tsunami,7
christchurch,medical_clinic,multi,63
christchurch,medical_clinic,liquefaction,34
christchurch,primary_school,tsunami,12
christchurch,primary_school,multi,60
christchurch,primary_school,liquefaction,30
christchurch,supermarket,tsunami,5
christchurch,supermarket,multi,29
christchurch,supermarket,liquefaction,16
seattle,supermarket,liquefaction,6
seattle,primary_school,liquefaction,2
seattle,medical_clinic,liquefaction,6
houston,supermarket,hurricane,19
houston,primary_school,hurricane,57
houston,medical_clinic,hurricane,10
